date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25,station,wind_dir_sin,wind_dir_cos,month_sin,month_cos
2022-05-29,23.7,27.8,5.7,10.8,1006.8,79,12.0,62T,-0.9998476951563913,0.01745240643728313,0.49999999999999994,-0.8660254037844387
2022-05-30,24.0,27.4,8.2,7.3,1006.5,83,12.0,62T,-0.9945218953682734,-0.10452846326765336,0.49999999999999994,-0.8660254037844387
2022-05-31,24.3,28.2,1.3,8.4,1005.6,81,13.0,62T,-0.9876883405951377,-0.15643446504023104,0.49999999999999994,-0.8660254037844387
2022-06-01,24.8,27.2,17.6,5.5,1006.5,87,13.0,62T,-0.45399049973954625,-0.8910065241883681,1.2246467991473532e-16,-1.0
2022-06-02,24.5,27.2,28.8,7.5,1007.3,86,11.0,62T,-0.10452846326765305,-0.9945218953682734,1.2246467991473532e-16,-1.0
2022-06-03,24.2,27.5,0.1,6.7,1007.6,84,10.0,62T,0.06975647374412552,-0.9975640502598242,1.2246467991473532e-16,-1.0
2022-06-04,24.3,27.6,1.2,7.0,1008.4,83,12.0,62T,0.7071067811865476,-0.7071067811865475,1.2246467991473532e-16,-1.0
2022-06-05,24.9,27.7,0.4,5.2,1007.7,85,13.0,62T,0.9925461516413221,-0.12186934340514737,1.2246467991473532e-16,-1.0
2022-06-06,23.9,27.0,18.3,6.8,1007.4,84,11.0,62T,-0.9335804264972016,-0.3583679495453007,1.2246467991473532e-16,-1.0
2022-06-07,23.9,27.0,4.2,6.0,1007.6,84,12.0,62T,-0.9848077530122081,0.17364817766692997,1.2246467991473532e-16,-1.0
2022-06-08,24.5,26.9,2.4,5.6,1007.6,87,15.0,62T,-0.9063077870366497,-0.42261826174069994,1.2246467991473532e-16,-1.0
2022-06-09,24.5,27.9,6.4,6.4,1007.1,83,12.0,62T,-0.6560590289905074,0.7547095802227719,1.2246467991473532e-16,-1.0
2022-06-10,24.2,26.7,7.1,6.3,1008.0,86,12.0,62T,-0.9945218953682734,-0.10452846326765336,1.2246467991473532e-16,-1.0
2022-06-11,24.0,26.8,8.0,8.9,1008.2,85,9.0,62T,-0.9702957262759966,0.24192189559966742,1.2246467991473532e-16,-1.0
2022-06-12,23.8,26.9,2.5,6.1,1008.5,84,12.0,62T,-0.882947592858927,-0.46947156278589075,1.2246467991473532e-16,-1.0
2022-06-13,24.4,27.2,4.3,4.9,1008.0,85,13.0,62T,-0.8910065241883678,-0.4539904997395469,1.2246467991473532e-16,-1.0
2022-06-14,24.5,27.1,2.4,4.7,1007.6,86,13.0,62T,-0.587785252292473,-0.8090169943749475,1.2246467991473532e-16,-1.0
2022-06-15,23.7,26.5,22.3,7.2,1008.2,86,10.0,62T,-0.19080899537654472,-0.981627183447664,1.2246467991473532e-16,-1.0
2022-06-16,23.8,27.0,4.6,8.0,1008.7,83,12.0,62T,0.8090169943749475,-0.587785252292473,1.2246467991473532e-16,-1.0
2022-06-17,24.5,27.0,15.0,6.6,1008.8,87,12.0,62T,-0.743144825477394,-0.6691306063588585,1.2246467991473532e-16,-1.0
2022-06-18,23.9,26.9,4.7,6.6,1008.8,84,12.0,62T,-0.2923717047227364,-0.9563047559630355,1.2246467991473532e-16,-1.0
2022-06-19,24.6,27.5,2.0,6.7,1007.7,85,13.0,62T,-0.9455185755993168,-0.32556815445715664,1.2246467991473532e-16,-1.0
2022-06-20,24.2,27.3,9.3,5.5,1006.2,84,13.0,62T,-0.5299192642332048,-0.8480480961564261,1.2246467991473532e-16,-1.0
2022-06-21,24.4,26.9,8.2,6.6,1006.1,87,11.0,62T,-0.45399049973954625,-0.8910065241883681,1.2246467991473532e-16,-1.0
